run_id,episode,train_reward,eval_avg_reward,eval_avg_energy,eval_avg_comfort_violation,epsilon,learning_rate,gamma,epsilon_decay
qlearning_v1,354,-714.6351,,,,0.169578,0.1,0.95,0.995
qlearning_v1,355,-676.6019,,,,0.168731,0.1,0.95,0.995
qlearning_v1,356,-720.3399,,,,0.167887,0.1,0.95,0.995
qlearning_v1,357,-831.6801,,,,0.167047,0.1,0.95,0.995
qlearning_v1,358,-729.885,,,,0.166212,0.1,0.95,0.995
qlearning_v1,359,-677.5367,,,,0.165381,0.1,0.95,0.995
qlearning_v1,360,-688.6852,,,,0.164554,0.1,0.95,0.995
qlearning_v1,361,-739.5246,,,,0.163731,0.1,0.95,0.995
qlearning_v1,362,-719.178,,,,0.162913,0.1,0.95,0.995
qlearning_v1,363,-815.1108,,,,0.162098,0.1,0.95,0.995
qlearning_v1,364,-614.6768,,,,0.161288,0.1,0.95,0.995
qlearning_v1,365,-684.5226,,,,0.160481,0.1,0.95,0.995
qlearning_v1,366,-779.0445,,,,0.159679,0.1,0.95,0.995
qlearning_v1,367,-650.4611,,,,0.158881,0.1,0.95,0.995
qlearning_v1,368,-788.9494,,,,0.158086,0.1,0.95,0.995
qlearning_v1,369,-627.505,,,,0.157296,0.1,0.95,0.995
qlearning_v1,370,-950.7152,,,,0.156509,0.1,0.95,0.995
qlearning_v1,371,-710.5887,,,,0.155727,0.1,0.95,0.995
qlearning_v1,372,-732.6506,,,,0.154948,0.1,0.95,0.995
qlearning_v1,373,-659.2311,,,,0.154173,0.1,0.95,0.995
qlearning_v1,374,-579.3044,,,,0.153402,0.1,0.95,0.995
qlearning_v1,375,-643.2523,,,,0.152635,0.1,0.95,0.995
qlearning_v1,376,-695.6161,,,,0.151872,0.1,0.95,0.995
qlearning_v1,377,-715.8951,,,,0.151113,0.1,0.95,0.995
qlearning_v1,378,-805.1369,,,,0.150357,0.1,0.95,0.995
